relpath,caption,key,bpm,mood,ckz
Crushed_keyz_melody_loops/cKz! Scenic Cmin 110 bpm @crushed_keyz.mp3,cKz! Scenic Cmin 110 bpm @crushed_keyz,,,,True
Crushed_keyz_melody_loops/cKz! StarLight 95 Amin @crushed_keyz x @dudeclayy.mp3,cKz! StarLight 95 Amin @crushed_keyz x @dudeclayy,,,,True
Crushed_keyz_melody_loops/cKz! TrapSoul Dsharp min 90 bpm @crushed_keyz @itsbynu.mp3,cKz! TrapSoul Dsharp min 90 bpm @crushed_keyz @itsbynu,,,,True
Crushed_keyz_melody_loops/cKz! dAYS OFF Gmin 150 bpm @crushed_keyz @officialnickystix.mp3,cKz! dAYS OFF Gmin 150 bpm @crushed_keyz @officialnickystix,,,,True
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Apology - 130 BPM D# Min.wav,Cymatics - Dragon Nostalgic Loop - Apology - 130 BPM D# Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Autumn - 144 BPM E Mi.wav,Cymatics - Dragon Nostalgic Loop - Autumn - 144 BPM E Mi,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Clocks - 122 BPM A Min.wav,Cymatics - Dragon Nostalgic Loop - Clocks - 122 BPM A Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Emotions - 140 BPM G Min.wav,Cymatics - Dragon Nostalgic Loop - Emotions - 140 BPM G Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Endless - 130 BPM F Min.wav,Cymatics - Dragon Nostalgic Loop - Endless - 130 BPM F Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Exile - 140 BPM C Min.wav,Cymatics - Dragon Nostalgic Loop - Exile - 140 BPM C Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Feelings - 140 C# Min.wav,Cymatics - Dragon Nostalgic Loop - Feelings - 140 C# Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Leap Year - 125 BPM F Min.wav,Cymatics - Dragon Nostalgic Loop - Leap Year - 125 BPM F Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Leftovers - 135 BPM C# Min.wav,Cymatics - Dragon Nostalgic Loop - Leftovers - 135 BPM C# Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Longing -  140 BPM A Min.wav,Cymatics - Dragon Nostalgic Loop - Longing -  140 BPM A Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Mystic - 150 BPM G Min.wav,Cymatics - Dragon Nostalgic Loop - Mystic - 150 BPM G Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Placebo - 160 BPM E Min.wav,Cymatics - Dragon Nostalgic Loop - Placebo - 160 BPM E Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Realize - 128 BPM D Min.wav,Cymatics - Dragon Nostalgic Loop - Realize - 128 BPM D Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Remorse - 140 BPM B Min.wav,Cymatics - Dragon Nostalgic Loop - Remorse - 140 BPM B Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Renaissance - 128 BPM C Min.wav,Cymatics - Dragon Nostalgic Loop - Renaissance - 128 BPM C Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Repent - 140 BPM G# Min.wav,Cymatics - Dragon Nostalgic Loop - Repent - 140 BPM G# Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Roses - 145 BPM A# Min .wav,Cymatics - Dragon Nostalgic Loop - Roses - 145 BPM A# Min ,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Tears - 140 BPM D Maj.wav,Cymatics - Dragon Nostalgic Loop - Tears - 140 BPM D Maj,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min.wav,Cymatics - Dragon Nostalgic Loop - Twilight - 152 BPM A# Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Unwanted - 120 BPM D# Maj.wav,Cymatics - Dragon Nostalgic Loop - Unwanted - 120 BPM D# Maj,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Voices - 130 BPM E Min.wav,Cymatics - Dragon Nostalgic Loop - Voices - 130 BPM E Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Waves - 140 BPM C Min.wav,Cymatics - Dragon Nostalgic Loop - Waves - 140 BPM C Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Wishing Well - 145 BPM C Min.wav,Cymatics - Dragon Nostalgic Loop - Wishing Well - 145 BPM C Min,,,,False
Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Yesterday - 151 BPM A Maj.wav,Cymatics - Dragon Nostalgic Loop - Yesterday - 151 BPM A Maj,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Back Alley - 156 BPM D# Min.wav,Cymatics - Dragon Orchestral Loop - Back Alley - 156 BPM D# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Battalion - 130 BPM C# Min.wav,Cymatics - Dragon Orchestral Loop - Battalion - 130 BPM C# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Countdown - 150 BPM C# Min.wav,Cymatics - Dragon Orchestral Loop - Countdown - 150 BPM C# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Crossover - 150 BPM G# Min.wav,Cymatics - Dragon Orchestral Loop - Crossover - 150 BPM G# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Drill - 150 BPM C# Min.wav,Cymatics - Dragon Orchestral Loop - Drill - 150 BPM C# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Finale - 150 BPM A Min.wav,Cymatics - Dragon Orchestral Loop - Finale - 150 BPM A Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Inception - 140 BPM C Min.wav,Cymatics - Dragon Orchestral Loop - Inception - 140 BPM C Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Last Battle - 110 BPM A# Min.wav,Cymatics - Dragon Orchestral Loop - Last Battle - 110 BPM A# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Life Span - 140 BPM G Min.wav,Cymatics - Dragon Orchestral Loop - Life Span - 140 BPM G Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Limitless - 150 BPM B Min.wav,Cymatics - Dragon Orchestral Loop - Limitless - 150 BPM B Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Minds - 128 BPM G Maj.wav,Cymatics - Dragon Orchestral Loop - Minds - 128 BPM G Maj,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Private Jet - 150 BPM F Min.wav,Cymatics - Dragon Orchestral Loop - Private Jet - 150 BPM F Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Protest - 144 BPM A# Min.wav,Cymatics - Dragon Orchestral Loop - Protest - 144 BPM A# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Real Time - 136 BPM E Min.wav,Cymatics - Dragon Orchestral Loop - Real Time - 136 BPM E Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Red Room - 161 BPM A# Min.wav,Cymatics - Dragon Orchestral Loop - Red Room - 161 BPM A# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Roses - 120 BPM A Min.wav,Cymatics - Dragon Orchestral Loop - Roses - 120 BPM A Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Seasons - 142 BPM E Min.wav,Cymatics - Dragon Orchestral Loop - Seasons - 142 BPM E Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Souls - 150 BPM A Min.wav,Cymatics - Dragon Orchestral Loop - Souls - 150 BPM A Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Stimulus - 150 BPM D Min.wav,Cymatics - Dragon Orchestral Loop - Stimulus - 150 BPM D Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Strangers - 160 BPM A Min.wav,Cymatics - Dragon Orchestral Loop - Strangers - 160 BPM A Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Timeless - 138 BPM E Min.wav,Cymatics - Dragon Orchestral Loop - Timeless - 138 BPM E Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Tragic - 155 BPM D# Min.wav,Cymatics - Dragon Orchestral Loop - Tragic - 155 BPM D# Min,,,,False
Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Vigor - 160 BPM C# Min.wav,Cymatics - Dragon Orchestral Loop - Vigor - 160 BPM C# Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Bad - 125 BPM A Min.wav,Cymatics - Dragon R&B Loop - Bad - 125 BPM A Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Dawn To Dusk - 136 BPM C# Min.wav,Cymatics - Dragon R&B Loop - Dawn To Dusk - 136 BPM C# Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Dreams - 65 BPM G Min.wav,Cymatics - Dragon R&B Loop - Dreams - 65 BPM G Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Floating - 82 BPM D# Maj.wav,Cymatics - Dragon R&B Loop - Floating - 82 BPM D# Maj,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Focus - 100 BPM E Maj.wav,Cymatics - Dragon R&B Loop - Focus - 100 BPM E Maj,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Hope - 105 BPM C Min.wav,Cymatics - Dragon R&B Loop - Hope - 105 BPM C Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Light Snow - 105 BPM E Min.wav,Cymatics - Dragon R&B Loop - Light Snow - 105 BPM E Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Liquid Courage - 100 BPM D Min.wav,Cymatics - Dragon R&B Loop - Liquid Courage - 100 BPM D Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Magic City - 130 BPM G Min.wav,Cymatics - Dragon R&B Loop - Magic City - 130 BPM G Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Midnight - 122 BPM G Min.wav,Cymatics - Dragon R&B Loop - Midnight - 122 BPM G Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Night & Day - 120 BPM D# Min.wav,Cymatics - Dragon R&B Loop - Night & Day - 120 BPM D# Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Pulling Away - 115 BPM E Maj.wav,Cymatics - Dragon R&B Loop - Pulling Away - 115 BPM E Maj,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Rainfall - 108 BPM A# Min.wav,Cymatics - Dragon R&B Loop - Rainfall - 108 BPM A# Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Remember - 90 BPM F# Min.wav,Cymatics - Dragon R&B Loop - Remember - 90 BPM F# Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Right Now - 130 BPM G Min.wav,Cymatics - Dragon R&B Loop - Right Now - 130 BPM G Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Rise - 130 BPM F Maj.wav,Cymatics - Dragon R&B Loop - Rise - 130 BPM F Maj,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Sunbeams - 85 BPM C Min.wav,Cymatics - Dragon R&B Loop - Sunbeams - 85 BPM C Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Sweet - 65 BPM A Min.wav,Cymatics - Dragon R&B Loop - Sweet - 65 BPM A Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Tease - 80 BPM D Min.wav,Cymatics - Dragon R&B Loop - Tease - 80 BPM D Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Tell Me - 150 BPM F# Min.wav,Cymatics - Dragon R&B Loop - Tell Me - 150 BPM F# Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - This Feeling - 100 BPM E Min.wav,Cymatics - Dragon R&B Loop - This Feeling - 100 BPM E Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Together - 116 BPM F Min.wav,Cymatics - Dragon R&B Loop - Together - 116 BPM F Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Twisted - 111 BPM A Min.wav,Cymatics - Dragon R&B Loop - Twisted - 111 BPM A Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - U Don_t Know - 100 BPM C# Min.wav,Cymatics - Dragon R&B Loop - U Don_t Know - 100 BPM C# Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Want Your Love - 110 BPM C Min.wav,Cymatics - Dragon R&B Loop - Want Your Love - 110 BPM C Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Wasted - 167 BPM F Min.wav,Cymatics - Dragon R&B Loop - Wasted - 167 BPM F Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - Waterfall - 110 BPM D# Min.wav,Cymatics - Dragon R&B Loop - Waterfall - 110 BPM D# Min,,,,False
Cymatics - Dragon Pt. 4/R&B/Cymatics - Dragon R&B Loop - You & I - 111 BPM A# Min.wav,Cymatics - Dragon R&B Loop - You & I - 111 BPM A# Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Bad Energy - 130 BPM C Min.wav,Cymatics - Dragon Sad Loop - Bad Energy - 130 BPM C Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Blue - 150 BPM C# Min.wav,Cymatics - Dragon Sad Loop - Blue - 150 BPM C# Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Can_t Let Go - 150 BPM B Min.wav,Cymatics - Dragon Sad Loop - Can_t Let Go - 150 BPM B Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Dead Flowers - 85 BPM D# Min.wav,Cymatics - Dragon Sad Loop - Dead Flowers - 85 BPM D# Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Emotional - 140 BPM C Min.wav,Cymatics - Dragon Sad Loop - Emotional - 140 BPM C Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Forgotten - 140 BPM B Min.wav,Cymatics - Dragon Sad Loop - Forgotten - 140 BPM B Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Grief - 120 BPM D Min.wav,Cymatics - Dragon Sad Loop - Grief - 120 BPM D Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Heartsick - 147 BPM A Min.wav,Cymatics - Dragon Sad Loop - Heartsick - 147 BPM A Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Hopeless - 115 BPM F Min.wav,Cymatics - Dragon Sad Loop - Hopeless - 115 BPM F Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Hurt - 140 BPM F# Min.wav,Cymatics - Dragon Sad Loop - Hurt - 140 BPM F# Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Left Behind - 155 BPM D Min.wav,Cymatics - Dragon Sad Loop - Left Behind - 155 BPM D Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Lonely - 145 BPM F Min.wav,Cymatics - Dragon Sad Loop - Lonely - 145 BPM F Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Lost Souls - 110 BPM A Min.wav,Cymatics - Dragon Sad Loop - Lost Souls - 110 BPM A Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Love Sick - 85 BPM G# Min.wav,Cymatics - Dragon Sad Loop - Love Sick - 85 BPM G# Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Memories Of You - 160 BPM E Min.wav,Cymatics - Dragon Sad Loop - Memories Of You - 160 BPM E Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Pain - 150 BPM G Min.wav,Cymatics - Dragon Sad Loop - Pain - 150 BPM G Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Regret - 115 BPM C Min.wav,Cymatics - Dragon Sad Loop - Regret - 115 BPM C Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Repent - 140 BPM B Min.wav,Cymatics - Dragon Sad Loop - Repent - 140 BPM B Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Surreal - 130 BPM C# Min.wav,Cymatics - Dragon Sad Loop - Surreal - 130 BPM C# Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Tragic - 130 BPM G# Min.wav,Cymatics - Dragon Sad Loop - Tragic - 130 BPM G# Min,,,,False
Cymatics - Dragon Pt. 5/Sad/Cymatics - Dragon Sad Loop - Visions - 140 BPM E Min.wav,Cymatics - Dragon Sad Loop - Visions - 140 BPM E Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Apollo - 140 BPM G Min.wav,Cymatics - Dragon Various Loop - Apollo - 140 BPM G Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Azure - 145 BPM C Min.wav,Cymatics - Dragon Various Loop - Azure - 145 BPM C Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Blindsided - 140 BPM G Min.wav,Cymatics - Dragon Various Loop - Blindsided - 140 BPM G Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Calamity - 98 BPM C# Min.wav,Cymatics - Dragon Various Loop - Calamity - 98 BPM C# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Creepin - 130 BPM E Min.wav,Cymatics - Dragon Various Loop - Creepin - 130 BPM E Min,,,,False
