rank,pred_score,pred_timbre,pred_melody,audible_ratio,file
25,5.662,2.88,2.78,0.95,0162__Dmin_120_oracle__Crystal__loop-Cymatics_Oracle_Simple_Mel__seed123.wav
26,5.660,2.81,2.86,0.96,0148__Dmin_100_r&b__BANDS__loop-Cymatics_Dragon_R_B_Loop_L__seed123.wav
27,5.640,2.72,2.92,0.92,0242__G#min_105_ethnic__Scenic__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
28,5.609,2.70,2.91,0.89,0050__Bmin_110_dark__FlaMEnCO__loop-Cymatics_Dragon_Platinum_D__seed123.wav
29,5.586,2.77,2.82,0.91,0170__Emin_160_cobra__AzUL__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
30,5.505,2.16,3.34,0.97,0106__Cmin_80_various__CANOPY__loop-Cymatics_Dragon_Various_Lo__seed123.wav
31,5.485,2.16,3.33,0.92,0246__G#min_105_ethnic__Glassland__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
32,5.485,2.67,2.81,0.96,0146__Dmin_100_r&b__Depths__loop-Cymatics_Dragon_R_B_Loop_L__seed123.wav
33,5.460,2.78,2.68,1.00,0230__Fmin_70_r&b__Ember__loop-Cymatics_Dragon_Platinum_R__seed123.wav
34,5.436,3.61,2.86,0.71,0063__Bmin_140_sad__JuPitER__loop-Cymatics_Dragon_Sad_Loop_F__seed7.wav
35,5.417,2.52,2.90,0.95,0189__Emin_94_dark__LowKey__loop-Cymatics_Gems_Dark_Loop_Nu__seed7.wav
36,5.357,2.39,2.96,0.96,0191__Emin_94_dark__Glassland__loop-Cymatics_Gems_Dark_Loop_Nu__seed7.wav
37,5.354,2.37,2.98,0.94,0207__F#min_130_sad__Halo__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
38,5.338,2.69,2.65,0.94,0099__Cmin_102_oracle__Veil__loop-Cymatics_Oracle_West_Coast__seed7.wav
39,5.315,2.69,2.62,0.94,0098__Cmin_102_oracle__LATE__loop-Cymatics_Oracle_West_Coast__seed123.wav
40,5.312,2.38,2.94,0.95,0280__Gmin_102_rnb__Twilight__loop-Cymatics_Gems_Vol_6_Fading__seed123.wav
41,5.273,2.31,2.97,0.94,0108__Cmin_80_various__Dusk__loop-Cymatics_Dragon_Various_Lo__seed123.wav
42,5.265,2.57,2.70,0.99,0253__G#min_85_sad__ACTiVE__loop-Cymatics_Dragon_Sad_Loop_L__seed7.wav
43,5.260,2.59,2.67,1.00,0257__G#min_85_sad__BANDS__loop-Cymatics_Dragon_Sad_Loop_L__seed7.wav
44,5.218,2.81,2.41,1.00,0013__A#min_97_oracle__Midnight__loop-Cymatics_Oracle_West_Coast__seed7.wav
45,5.171,2.28,2.89,0.96,0016__A#min_97_oracle__BANDS__loop-Cymatics_Oracle_West_Coast__seed123.wav
46,5.139,2.95,2.69,0.78,0155__Dmin_140_dark__Scenic__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
47,5.135,2.32,2.82,0.93,0209__F#min_130_sad__Soulful__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
48,5.132,2.90,2.33,0.83,0157__Dmin_120_oracle__JuPitER__loop-Cymatics_Oracle_Simple_Mel__seed7.wav
49,5.130,2.20,2.93,0.93,0199__F#min_105_dark__StarLight__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
50,5.123,2.26,2.87,0.96,0188__Emin_94_dark__TrapSoul__loop-Cymatics_Gems_Dark_Loop_Nu__seed123.wav
51,5.099,2.25,2.85,0.95,0282__Gmin_102_rnb__Midnight__loop-Cymatics_Gems_Vol_6_Fading__seed123.wav
52,5.099,2.58,2.52,0.92,0166__Dmin_160_ethnic__JUNGLE__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
53,5.091,2.17,2.93,0.94,0208__F#min_130_sad__Halo__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
54,5.087,2.18,2.90,1.00,0277__Gmin_102_rnb__Cry__loop-Cymatics_Gems_Vol_6_Fading__seed7.wav
55,5.066,2.17,2.90,0.97,0104__Cmin_80_various__Coldhearted__loop-Cymatics_Dragon_Various_Lo__seed123.wav
56,5.048,2.20,2.85,0.96,0014__A#min_97_oracle__Midnight__loop-Cymatics_Oracle_West_Coast__seed123.wav
57,5.048,2.16,2.89,0.96,0192__Emin_94_dark__Glassland__loop-Cymatics_Gems_Dark_Loop_Nu__seed123.wav
58,5.035,2.29,2.75,1.00,0109__Cmin_65_trap__Panda__loop-Cymatics_Dragon_Platinum_O__seed7.wav
59,5.021,2.12,2.90,0.93,0205__F#min_130_sad__Mars__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
60,5.005,2.64,2.85,0.78,0117__Cmin_128_dragon__CoSmoS__loop-Cymatics_Dragon_Nostalgic___seed7.wav
61,5.002,2.16,2.84,0.96,0112__Cmin_65_trap__AzUL__loop-Cymatics_Dragon_Platinum_O__seed123.wav
62,4.997,2.21,2.79,0.94,0100__Cmin_102_oracle__Veil__loop-Cymatics_Oracle_West_Coast__seed123.wav
63,4.994,2.10,2.89,0.95,0114__Cmin_65_trap__Crystal__loop-Cymatics_Dragon_Platinum_O__seed123.wav
64,4.981,2.76,2.96,0.74,0025__Amin_130_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed7.wav
65,4.980,2.15,2.83,0.97,0103__Cmin_80_various__Coldhearted__loop-Cymatics_Dragon_Various_Lo__seed7.wav
66,4.949,2.12,2.83,0.94,0111__Cmin_65_trap__AzUL__loop-Cymatics_Dragon_Platinum_O__seed7.wav
67,4.935,2.75,2.19,1.00,0234__Fmin_70_r&b__Depths__loop-Cymatics_Dragon_Platinum_R__seed123.wav
68,4.933,2.20,2.74,0.89,0118__Cmin_128_dragon__CoSmoS__loop-Cymatics_Dragon_Nostalgic___seed123.wav
69,4.928,2.26,3.11,0.78,0116__Cmin_128_dragon__Veil__loop-Cymatics_Dragon_Nostalgic___seed123.wav
70,4.912,2.73,2.18,0.97,0107__Cmin_80_various__Dusk__loop-Cymatics_Dragon_Various_Lo__seed7.wav
71,4.894,2.95,2.35,0.79,0067__Bmin_125_oracle__Halo__loop-Cymatics_Oracle_Nostalgic___seed7.wav
72,4.894,2.12,2.78,0.94,0113__Cmin_65_trap__Crystal__loop-Cymatics_Dragon_Platinum_O__seed7.wav
73,4.891,2.11,2.78,0.93,0190__Emin_94_dark__LowKey__loop-Cymatics_Gems_Dark_Loop_Nu__seed123.wav
74,4.873,2.11,2.77,0.94,0210__F#min_130_sad__Soulful__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
75,4.864,2.13,2.74,0.96,0250__G#min_150_dragon__Mars__loop-Cymatics_Dragon_Orchestral__seed123.wav
76,4.849,2.94,2.34,0.78,0071__Bmin_125_oracle__Midnight__loop-Cymatics_Oracle_Nostalgic___seed7.wav
77,4.847,2.88,2.31,0.80,0158__Dmin_120_oracle__JuPitER__loop-Cymatics_Oracle_Simple_Mel__seed123.wav
78,4.810,2.53,2.81,0.77,0093__C#min_130_dark__Scenic__loop-Cymatics_Dragon_Platinum_D__seed7.wav
79,4.800,2.58,2.69,0.78,0021__A#min_150_various__Soulful__loop-Cymatics_Dragon_Various_Lo__seed7.wav
80,4.793,2.80,2.23,0.81,0161__Dmin_120_oracle__Crystal__loop-Cymatics_Oracle_Simple_Mel__seed7.wav
81,4.782,2.10,2.68,0.92,0176__Emin_110_cobra__JuPitER__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
82,4.748,2.07,2.68,0.95,0278__Gmin_102_rnb__Cry__loop-Cymatics_Gems_Vol_6_Fading__seed123.wav
83,4.736,2.70,3.31,0.67,0274__Gmin_130_r&b__ACTiVE__loop-Cymatics_Dragon_R_B_Loop_R__seed123.wav
84,4.692,2.29,2.40,0.96,0149__Dmin_100_r&b__StarLight__loop-Cymatics_Dragon_R_B_Loop_L__seed7.wav
85,4.670,2.03,2.64,1.00,0231__Fmin_70_r&b__Mirage__loop-Cymatics_Dragon_Platinum_R__seed7.wav
86,4.658,2.44,2.77,0.76,0009__A#min_152_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed7.wav
87,4.632,2.35,2.29,0.94,0102__Cmin_102_oracle__DreamDoor__loop-Cymatics_Oracle_West_Coast__seed123.wav
88,4.622,2.03,2.59,0.88,0007__A#min_152_dragon__StarLight__loop-Cymatics_Dragon_Nostalgic___seed7.wav
89,4.612,2.53,2.08,0.96,0022__A#min_150_various__Soulful__loop-Cymatics_Dragon_Various_Lo__seed123.wav
90,4.593,2.21,2.90,0.77,0119__Cmin_128_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed7.wav
91,4.591,2.24,2.35,1.00,0233__Fmin_70_r&b__Depths__loop-Cymatics_Dragon_Platinum_R__seed7.wav
92,4.582,2.77,2.29,0.77,0153__Dmin_140_dark__Glassland__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
93,4.568,2.03,2.54,0.93,0206__F#min_130_sad__Mars__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
94,4.562,2.32,2.25,0.93,0202__F#min_105_dark__LATE__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
95,4.531,2.26,2.27,1.00,0255__G#min_85_sad__Ember__loop-Cymatics_Dragon_Sad_Loop_L__seed7.wav
96,4.529,2.66,2.58,0.73,0064__Bmin_140_sad__JuPitER__loop-Cymatics_Dragon_Sad_Loop_F__seed123.wav
97,4.525,2.21,2.89,0.76,0275__Gmin_130_r&b__Mars__loop-Cymatics_Dragon_R_B_Loop_R__seed7.wav
98,4.521,2.31,2.88,0.74,0029__Amin_130_ethnic__Halo__loop-Cymatics_Dragon_Platinum_E__seed7.wav
99,4.512,2.23,2.92,0.74,0271__Gmin_130_r&b__Glassland__loop-Cymatics_Dragon_R_B_Loop_R__seed7.wav
100,4.491,2.80,2.13,0.78,0069__Bmin_125_oracle__POWER__loop-Cymatics_Oracle_Nostalgic___seed7.wav
101,4.460,2.25,2.21,1.00,0232__Fmin_70_r&b__Mirage__loop-Cymatics_Dragon_Platinum_R__seed123.wav
102,4.451,2.79,2.19,0.76,0042__Amin_130_sad__Dusk__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
103,4.445,2.07,2.78,0.78,0120__Cmin_128_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed123.wav
104,4.440,2.23,2.64,0.78,0023__A#min_150_various__AzUL__loop-Cymatics_Dragon_Various_Lo__seed7.wav
105,4.436,2.11,2.33,0.86,0121__D#min_106_various__Midnight__loop-Cymatics_Dragon_Various_Lo__seed7.wav
106,4.433,2.44,2.79,0.72,0065__Bmin_140_sad__Mirage__loop-Cymatics_Dragon_Sad_Loop_F__seed7.wav
107,4.416,3.01,2.35,0.70,0061__Bmin_140_sad__POWER__loop-Cymatics_Dragon_Sad_Loop_F__seed7.wav
108,4.404,2.18,2.22,0.94,0101__Cmin_102_oracle__DreamDoor__loop-Cymatics_Oracle_West_Coast__seed7.wav
109,4.404,2.17,2.23,0.89,0011__A#min_152_dragon__Velvet__loop-Cymatics_Dragon_Nostalgic___seed7.wav
110,4.394,2.31,3.44,0.65,0249__G#min_150_dragon__Mars__loop-Cymatics_Dragon_Orchestral__seed7.wav
111,4.359,2.09,2.69,0.78,0001__A#min_144_ethnic__Ember__loop-Cymatics_Dragon_Platinum_E__seed7.wav
112,4.356,2.09,2.26,0.94,0030__Amin_130_ethnic__Halo__loop-Cymatics_Dragon_Platinum_E__seed123.wav
113,4.328,2.18,2.15,0.94,0097__Cmin_102_oracle__LATE__loop-Cymatics_Oracle_West_Coast__seed7.wav
114,4.308,2.13,2.17,0.94,0256__G#min_85_sad__Ember__loop-Cymatics_Dragon_Sad_Loop_L__seed123.wav
115,4.278,2.00,2.57,0.80,0003__A#min_144_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed7.wav
116,4.273,2.26,2.75,0.72,0276__Gmin_130_r&b__Mars__loop-Cymatics_Dragon_R_B_Loop_R__seed123.wav
117,4.271,2.24,2.91,0.70,0138__D#min_140_cobra__Halo__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
118,4.266,2.12,2.15,0.96,0150__Dmin_100_r&b__StarLight__loop-Cymatics_Dragon_R_B_Loop_L__seed123.wav
119,4.266,2.05,2.72,0.76,0094__C#min_130_dark__Scenic__loop-Cymatics_Dragon_Platinum_D__seed123.wav
120,4.255,2.12,2.14,0.93,0200__F#min_105_dark__StarLight__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
121,4.254,2.18,2.10,0.84,0159__Dmin_120_oracle__LATE__loop-Cymatics_Oracle_Simple_Mel__seed7.wav
122,4.254,2.01,2.25,0.93,0080__C#min_135_dragon__Nasty__loop-Cymatics_Dragon_Nostalgic___seed123.wav
123,4.249,2.36,2.30,0.78,0151__Dmin_140_dark__Depths__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
124,4.242,2.07,2.17,0.91,0168__Dmin_160_ethnic__Crystal__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
125,4.181,2.71,2.84,0.64,0252__G#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed123.wav
126,4.155,2.10,2.05,0.91,0254__G#min_85_sad__ACTiVE__loop-Cymatics_Dragon_Sad_Loop_L__seed123.wav
127,4.148,2.00,2.67,0.76,0005__A#min_144_ethnic__JuPitER__loop-Cymatics_Dragon_Platinum_E__seed7.wav
128,4.124,2.14,2.86,0.70,0152__Dmin_140_dark__Depths__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
129,4.115,2.00,2.11,0.91,0164__Dmin_160_ethnic__Pressure__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
130,4.112,3.24,2.58,0.60,0043__Amin_160_misc__BANDS__loop-Cymatics_2020_Nostalgic_Me__seed7.wav
131,4.103,2.02,2.70,0.74,0027__Amin_130_ethnic__CoSmoS__loop-Cymatics_Dragon_Platinum_E__seed7.wav
132,4.089,2.05,2.32,0.80,0068__Bmin_125_oracle__Halo__loop-Cymatics_Oracle_Nostalgic___seed123.wav
133,4.086,2.35,2.51,0.71,0134__D#min_140_cobra__Coldhearted__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
134,4.080,2.27,3.03,0.66,0251__G#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed7.wav
135,4.079,2.67,2.75,0.64,0248__G#min_150_dragon__Coupe__loop-Cymatics_Dragon_Orchestral__seed123.wav
136,4.079,2.63,2.74,0.65,0076__C#min_150_dragon__Scenic__loop-Cymatics_Dragon_Orchestral__seed123.wav
137,4.071,2.30,2.50,0.72,0137__D#min_140_cobra__Halo__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
138,4.058,2.40,2.17,0.76,0040__Amin_130_sad__LATE__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
139,4.045,2.21,2.25,0.77,0041__Amin_130_sad__Dusk__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
140,4.029,2.05,2.26,0.80,0072__Bmin_125_oracle__Midnight__loop-Cymatics_Oracle_Nostalgic___seed123.wav
141,4.027,2.22,2.12,0.79,0160__Dmin_120_oracle__LATE__loop-Cymatics_Oracle_Simple_Mel__seed123.wav
142,3.954,2.02,2.78,0.70,0026__Amin_130_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed123.wav
143,3.950,1.70,2.25,0.96,0187__Emin_94_dark__TrapSoul__loop-Cymatics_Gems_Dark_Loop_Nu__seed7.wav
144,3.945,2.19,2.26,0.76,0038__Amin_130_sad__ICE__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
145,3.942,2.18,2.14,0.78,0037__Amin_130_sad__ICE__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
146,3.925,2.60,2.20,0.69,0062__Bmin_140_sad__POWER__loop-Cymatics_Dragon_Sad_Loop_F__seed123.wav
147,3.902,2.63,2.85,0.60,0171__Emin_160_cobra__Pressure__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
148,3.899,2.08,2.37,0.74,0084__C#min_135_dragon__Mars__loop-Cymatics_Dragon_Nostalgic___seed123.wav
149,3.834,2.31,2.16,0.73,0066__Bmin_140_sad__Mirage__loop-Cymatics_Dragon_Sad_Loop_F__seed123.wav
150,3.834,2.25,2.34,0.71,0156__Dmin_140_dark__Scenic__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
151,3.833,2.24,2.32,0.71,0135__D#min_140_cobra__Nasty__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
152,3.829,2.06,2.25,0.76,0091__C#min_130_dark__Ember__loop-Cymatics_Dragon_Platinum_D__seed7.wav
153,3.807,2.34,2.13,0.72,0133__D#min_140_cobra__Coldhearted__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
154,3.763,2.08,2.22,0.74,0095__C#min_130_dark__CoSmoS__loop-Cymatics_Dragon_Platinum_D__seed7.wav
155,3.762,1.59,2.17,0.92,0124__D#min_106_various__Scenic__loop-Cymatics_Dragon_Various_Lo__seed123.wav
156,3.761,2.07,2.85,0.65,0247__G#min_150_dragon__Coupe__loop-Cymatics_Dragon_Orchestral__seed7.wav
157,3.754,1.55,2.21,0.89,0123__D#min_106_various__Scenic__loop-Cymatics_Dragon_Various_Lo__seed7.wav
158,3.749,2.09,2.24,0.73,0081__C#min_135_dragon__Rent_Free__loop-Cymatics_Dragon_Nostalgic___seed7.wav
159,3.745,1.77,1.98,0.87,0125__D#min_106_various__JuPitER__loop-Cymatics_Dragon_Various_Lo__seed7.wav
160,3.734,2.67,2.00,0.68,0024__A#min_150_various__AzUL__loop-Cymatics_Dragon_Various_Lo__seed123.wav
161,3.711,2.06,1.65,0.93,0258__G#min_85_sad__BANDS__loop-Cymatics_Dragon_Sad_Loop_L__seed123.wav
162,3.705,2.69,2.12,0.66,0266__Gmin_136_dark__Veil__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
163,3.701,2.10,2.74,0.65,0019__A#min_150_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed7.wav
164,3.699,1.91,2.65,0.69,0028__Amin_130_ethnic__CoSmoS__loop-Cymatics_Dragon_Platinum_E__seed123.wav
165,3.699,2.20,2.26,0.70,0096__C#min_130_dark__CoSmoS__loop-Cymatics_Dragon_Platinum_D__seed123.wav
166,3.692,2.09,2.15,0.74,0079__C#min_135_dragon__Nasty__loop-Cymatics_Dragon_Nostalgic___seed7.wav
167,3.673,2.60,2.16,0.66,0272__Gmin_130_r&b__Glassland__loop-Cymatics_Dragon_R_B_Loop_R__seed123.wav
168,3.658,2.02,2.16,0.74,0082__C#min_135_dragon__Rent_Free__loop-Cymatics_Dragon_Nostalgic___seed123.wav
169,3.650,2.09,1.83,0.79,0070__Bmin_125_oracle__POWER__loop-Cymatics_Oracle_Nostalgic___seed123.wav
170,3.642,2.64,2.05,0.66,0020__A#min_150_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed123.wav
171,3.622,2.34,2.36,0.66,0075__C#min_150_dragon__Scenic__loop-Cymatics_Dragon_Orchestral__seed7.wav
172,3.598,2.25,1.82,0.75,0039__Amin_130_sad__LATE__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
173,3.576,2.21,2.86,0.60,0169__Emin_160_cobra__AzUL__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
174,3.571,2.04,2.09,0.73,0083__C#min_135_dragon__Mars__loop-Cymatics_Dragon_Nostalgic___seed7.wav
175,3.519,1.77,1.74,0.91,0126__D#min_106_various__JuPitER__loop-Cymatics_Dragon_Various_Lo__seed123.wav
176,3.508,2.18,2.75,0.60,0173__Emin_160_cobra__LowKey__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
177,3.486,1.27,2.21,0.96,0142__D#min_94_rnb__Panda__loop-Cymatics_Gems_Vol_6_Glowin__seed123.wav
178,3.479,2.01,2.22,0.70,0154__Dmin_140_dark__Glassland__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
179,3.408,1.27,2.13,0.95,0144__D#min_94_rnb__Rent_Free__loop-Cymatics_Gems_Vol_6_Glowin__seed123.wav
180,3.397,1.43,1.99,0.84,0122__D#min_106_various__Midnight__loop-Cymatics_Dragon_Various_Lo__seed123.wav
181,3.392,3.17,3.10,0.46,0178__Emin_110_cobra__Panda__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
182,3.381,2.51,1.98,0.64,0172__Emin_160_cobra__Pressure__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
183,3.374,2.12,2.23,0.66,0073__C#min_150_dragon__CoSmoS__loop-Cymatics_Dragon_Orchestral__seed7.wav
184,3.373,2.35,2.02,0.66,0265__Gmin_136_dark__Veil__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
185,3.329,2.10,2.19,0.66,0077__C#min_150_dragon__Midnight__loop-Cymatics_Dragon_Orchestral__seed7.wav
186,3.315,2.12,2.18,0.66,0268__Gmin_136_dark__Soulful__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
187,3.306,2.22,2.47,0.60,0047__Amin_160_misc__Crystal__loop-Cymatics_2020_Nostalgic_Me__seed7.wav
188,3.301,2.59,2.13,0.59,0044__Amin_160_misc__BANDS__loop-Cymatics_2020_Nostalgic_Me__seed123.wav
189,3.292,1.92,2.07,0.70,0006__A#min_144_ethnic__JuPitER__loop-Cymatics_Dragon_Platinum_E__seed123.wav
190,3.288,2.16,2.21,0.64,0078__C#min_150_dragon__Midnight__loop-Cymatics_Dragon_Orchestral__seed123.wav
191,3.275,2.14,2.46,0.60,0045__Amin_160_misc__Emotions__loop-Cymatics_2020_Nostalgic_Me__seed7.wav
192,3.268,2.80,3.31,0.46,0215__F#min_113_cobra__Coldhearted__loop-Cymatics_Cobra_Flute_Loop___seed7.wav
193,3.246,2.76,2.25,0.55,0032__Amin_88_oracle__Crystal__loop-Cymatics_Oracle_Classic_Me__seed123.wav
194,3.238,2.12,2.19,0.64,0074__C#min_150_dragon__CoSmoS__loop-Cymatics_Dragon_Orchestral__seed123.wav
195,3.238,2.11,2.09,0.66,0267__Gmin_136_dark__Soulful__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
196,3.228,1.89,2.06,0.69,0002__A#min_144_ethnic__Ember__loop-Cymatics_Dragon_Platinum_E__seed123.wav
197,3.199,2.25,2.28,0.60,0048__Amin_160_misc__Crystal__loop-Cymatics_2020_Nostalgic_Me__seed123.wav
198,3.174,1.87,1.98,0.70,0004__A#min_144_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed123.wav
199,3.162,2.84,2.14,0.54,0034__Amin_88_oracle__Cry__loop-Cymatics_Oracle_Classic_Me__seed123.wav
200,3.154,2.69,2.57,0.51,0177__Emin_110_cobra__Panda__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
201,3.126,1.62,2.15,0.70,0092__C#min_130_dark__Ember__loop-Cymatics_Dragon_Platinum_D__seed123.wav
202,3.125,1.66,2.11,0.70,0136__D#min_140_cobra__Nasty__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
203,3.103,2.69,3.24,0.45,0261__G#min_115_dark__POWER__loop-Cymatics_Gems_Dark_Loop_At__seed7.wav
204,3.090,2.05,1.96,0.66,0270__Gmin_136_dark__Depths__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
205,3.065,2.12,3.04,0.51,0012__A#min_152_dragon__Velvet__loop-Cymatics_Dragon_Nostalgic___seed123.wav
206,3.053,2.84,2.86,0.46,0213__F#min_113_cobra__LowKey__loop-Cymatics_Cobra_Flute_Loop___seed7.wav
207,3.042,2.59,2.48,0.51,0179__Emin_110_cobra__Halo__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
208,3.037,2.73,2.95,0.46,0259__G#min_115_dark__JuPitER__loop-Cymatics_Gems_Dark_Loop_At__seed7.wav
209,3.029,2.11,2.15,0.60,0046__Amin_160_misc__Emotions__loop-Cymatics_2020_Nostalgic_Me__seed123.wav
210,3.008,2.69,2.14,0.53,0141__D#min_94_rnb__Panda__loop-Cymatics_Gems_Vol_6_Glowin__seed7.wav
211,2.981,2.12,2.07,0.60,0163__Dmin_160_ethnic__Pressure__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
212,2.980,2.13,2.06,0.60,0174__Emin_160_cobra__LowKey__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
213,2.967,2.10,2.65,0.53,0143__D#min_94_rnb__Rent_Free__loop-Cymatics_Gems_Vol_6_Glowin__seed7.wav
214,2.946,2.05,1.83,0.65,0269__Gmin_136_dark__Depths__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
