rank,pred_score,pred_timbre,pred_melody,density,file
19,5.625,2.73,2.89,1.00,0429__F#min_113_cobra__Dusk__loop-Cymatics_Cobra_Flute_Loop___seed777.wav
20,5.621,2.82,2.80,0.98,0437__Fmin_160_various__Depths__loop-Cymatics_Oracle_Various_Me__seed123.wav
21,5.621,2.89,2.73,0.99,0122__Bmin_140_sad__Nasty__loop-Cymatics_Dragon_Sad_Loop_F__seed123.wav
22,5.614,2.98,2.64,0.95,0224__Cmin_65_trap__StarLight__loop-Cymatics_Dragon_Platinum_O__seed123.wav
23,5.613,2.69,2.92,1.00,0296__Dmin_100_r&b__LATE__loop-Cymatics_Dragon_R_B_Loop_L__seed123.wav
24,5.611,3.13,2.48,1.00,0078__Amin_130_sad__Halo__loop-Cymatics_Oracle_Sad_Melody__seed777.wav
25,5.610,2.90,2.71,1.00,0302__Dmin_140_dark__Mars__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
26,5.607,2.78,2.82,1.00,0117__Bmin_167_dark__Midnight__loop-Cymatics_Oracle_Dark_Melod__seed777.wav
27,5.607,2.65,2.96,0.94,0417__F#min_130_sad__Midnight__loop-Cymatics_Oracle_Sad_Melody__seed777.wav
28,5.606,2.71,2.90,1.00,0464__Fmin_70_r&b__Coldhearted__loop-Cymatics_Dragon_Platinum_R__seed123.wav
29,5.604,2.68,2.92,1.00,0292__Dmin_100_r&b__StarLight__loop-Cymatics_Dragon_R_B_Loop_L__seed7.wav
30,5.603,2.89,2.71,1.00,0301__Dmin_140_dark__Mars__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
31,5.599,2.60,3.00,0.96,0377__Emin_94_dark__BANDS__loop-Cymatics_Gems_Dark_Loop_Nu__seed123.wav
32,5.599,2.70,2.90,0.92,0563__Gmin_102_rnb__Halo__loop-Cymatics_Gems_Vol_6_Fading__seed123.wav
33,5.595,2.79,2.81,1.00,0322__Dmin_120_oracle__Cry__loop-Cymatics_Oracle_Simple_Mel__seed7.wav
34,5.588,2.55,3.03,0.96,0383__Emin_94_dark__POWER__loop-Cymatics_Gems_Dark_Loop_Nu__seed123.wav
35,5.580,2.78,2.80,1.00,0428__F#min_113_cobra__Dusk__loop-Cymatics_Cobra_Flute_Loop___seed123.wav
36,5.575,2.83,2.75,1.00,0129__Bmin_140_sad__Mars__loop-Cymatics_Dragon_Sad_Loop_F__seed777.wav
37,5.566,2.85,2.72,1.00,0434__Fmin_160_various__Coldhearted__loop-Cymatics_Oracle_Various_Me__seed123.wav
38,5.557,2.61,2.95,1.00,0103__Bmin_110_dark__POWER__loop-Cymatics_Dragon_Platinum_D__seed7.wav
39,5.557,2.87,2.69,1.00,0232__Cmin_128_dragon__JuPitER__loop-Cymatics_Dragon_Nostalgic___seed7.wav
40,5.549,2.85,2.70,0.99,0131__Bmin_140_sad__AzUL__loop-Cymatics_Dragon_Sad_Loop_F__seed123.wav
41,5.544,2.97,2.58,1.00,0019__A#min_152_dragon__Midnight__loop-Cymatics_Dragon_Nostalgic___seed7.wav
42,5.540,2.88,2.66,0.99,0125__Bmin_140_sad__Rent_Free__loop-Cymatics_Dragon_Sad_Loop_F__seed123.wav
43,5.537,2.60,2.94,0.93,0418__F#min_130_sad__Echo__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
44,5.533,2.73,2.81,1.00,0289__Dmin_100_r&b__Velvet__loop-Cymatics_Dragon_R_B_Loop_L__seed7.wav
45,5.514,2.66,2.85,0.99,0098__Bmin_110_dark__Mirage__loop-Cymatics_Dragon_Platinum_D__seed123.wav
46,5.513,2.65,2.86,1.00,0290__Dmin_100_r&b__Velvet__loop-Cymatics_Dragon_R_B_Loop_L__seed123.wav
47,5.506,2.72,2.78,0.94,0555__Gmin_102_rnb__Panda__loop-Cymatics_Gems_Vol_6_Fading__seed777.wav
48,5.502,2.55,2.96,0.93,0411__F#min_130_sad__Twilight__loop-Cymatics_Oracle_Sad_Melody__seed777.wav
49,5.502,2.91,2.59,0.99,0516__G#min_85_sad__Soulful__loop-Cymatics_Dragon_Sad_Loop_L__seed777.wav
50,5.499,2.74,2.76,0.99,0036__A#min_97_oracle__AzUL__loop-Cymatics_Oracle_West_Coast__seed777.wav
51,5.490,2.45,3.04,1.00,0266__D#min_140_cobra__Halo__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
52,5.489,2.59,2.90,1.00,0350__Emin_110_cobra__Panda__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
53,5.488,2.65,2.84,0.99,0440__Fmin_160_various__BANDS__loop-Cymatics_Oracle_Various_Me__seed123.wav
54,5.487,2.63,2.86,1.00,0298__Dmin_100_r&b__BANDS__loop-Cymatics_Dragon_R_B_Loop_L__seed7.wav
55,5.484,2.63,2.86,1.00,0116__Bmin_167_dark__Midnight__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
56,5.474,2.60,2.88,0.99,0385__F#min_100_rnb__Ember__loop-Cymatics_Gems_Vol_6_Never___seed7.wav
57,5.472,2.54,2.94,1.00,0352__Emin_110_cobra__Scenic__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
58,5.471,2.62,2.85,1.00,0293__Dmin_100_r&b__StarLight__loop-Cymatics_Dragon_R_B_Loop_L__seed123.wav
59,5.468,2.64,2.83,0.99,0291__Dmin_100_r&b__Velvet__loop-Cymatics_Dragon_R_B_Loop_L__seed777.wav
60,5.467,2.85,2.62,0.91,0215__Cmin_80_various__Rent_Free__loop-Cymatics_Dragon_Various_Lo__seed123.wav
61,5.460,2.61,2.85,1.00,0332__Dmin_160_ethnic__JUNGLE__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
62,5.450,2.88,2.57,1.00,0016__A#min_152_dragon__Velvet__loop-Cymatics_Dragon_Nostalgic___seed7.wav
63,5.449,2.69,2.76,1.00,0316__Dmin_120_oracle__Crystal__loop-Cymatics_Oracle_Simple_Mel__seed7.wav
64,5.440,2.76,2.68,0.97,0260__D#min_90_r&b__JuPitER__loop-Cymatics_Oracle_R_B_Melody__seed123.wav
65,5.437,2.46,2.98,1.00,0504__G#min_150_dragon__Depths__loop-Cymatics_Dragon_Orchestral__seed777.wav
66,5.434,2.82,2.61,0.97,0211__Cmin_80_various__Panda__loop-Cymatics_Dragon_Various_Lo__seed7.wav
67,5.431,2.59,2.84,0.99,0031__A#min_97_oracle__Soulful__loop-Cymatics_Oracle_West_Coast__seed7.wav
68,5.429,2.85,2.58,1.00,0121__Bmin_140_sad__Nasty__loop-Cymatics_Dragon_Sad_Loop_F__seed7.wav
69,5.429,2.68,2.75,0.99,0513__G#min_85_sad__Rent_Free__loop-Cymatics_Dragon_Sad_Loop_L__seed777.wav
70,5.429,2.64,2.79,0.92,0537__Gmin_136_dark__FlaMEnCO__loop-Cymatics_Dragon_Dark_Loop___seed777.wav
71,5.427,2.65,2.78,1.00,0094__Amin_160_misc__JuPitER__loop-Cymatics_2020_Nostalgic_Me__seed7.wav
72,5.422,2.80,2.63,0.99,0310__Dmin_140_dark__LowKey__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
73,5.418,2.68,2.74,1.00,0112__Bmin_167_dark__Scenic__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
74,5.413,2.47,2.94,1.00,0269__D#min_140_cobra__CANOPY__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
75,5.411,2.72,2.69,0.94,0220__Cmin_65_trap__BANDS__loop-Cymatics_Dragon_Platinum_O__seed7.wav
76,5.410,2.65,2.76,1.00,0404__F#min_105_dark__Mars__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
77,5.407,2.85,2.56,1.00,0113__Bmin_167_dark__Scenic__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
78,5.405,2.75,2.66,1.00,0442__Fmin_160_various__Coupe__loop-Cymatics_Oracle_Various_Me__seed7.wav
79,5.403,2.53,2.88,1.00,0353__Emin_110_cobra__Scenic__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
80,5.389,2.56,2.83,0.93,0409__F#min_130_sad__Twilight__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
81,5.389,2.39,3.00,1.00,0468__Fmin_70_r&b__Echo__loop-Cymatics_Dragon_Platinum_R__seed777.wav
82,5.387,2.54,2.85,0.99,0294__Dmin_100_r&b__StarLight__loop-Cymatics_Dragon_R_B_Loop_L__seed777.wav
83,5.378,2.46,2.92,1.00,0267__D#min_140_cobra__Halo__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
84,5.377,2.34,3.03,1.00,0487__G#min_105_ethnic__Panda__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
85,5.373,2.51,2.86,0.99,0394__F#min_100_rnb__Depths__loop-Cymatics_Gems_Vol_6_Never___seed7.wav
86,5.372,2.54,2.83,1.00,0359__Emin_110_cobra__Glassland__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
87,5.365,2.63,2.73,1.00,0268__D#min_140_cobra__CANOPY__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
88,5.365,2.44,2.93,1.00,0452__Fmin_130_dragon__Pressure__loop-Cymatics_Dragon_Nostalgic___seed123.wav
89,5.363,2.67,2.69,1.00,0203__Cmin_102_oracle__Nasty__loop-Cymatics_Oracle_West_Coast__seed123.wav
90,5.353,2.55,2.80,0.89,0491__G#min_105_ethnic__BANDS__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
91,5.351,2.58,2.77,0.90,0347__Emin_160_cobra__Rent_Free__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
92,5.348,2.63,2.72,0.99,0222__Cmin_65_trap__BANDS__loop-Cymatics_Dragon_Platinum_O__seed777.wav
93,5.348,2.73,2.62,0.96,0218__Cmin_65_trap__Depths__loop-Cymatics_Dragon_Platinum_O__seed123.wav
94,5.347,2.50,2.85,0.93,0057__Amin_130_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed777.wav
95,5.343,2.46,2.88,1.00,0109__Bmin_167_dark__CoSmoS__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
96,5.343,2.68,2.66,1.00,0069__Amin_88_oracle__Emotions__loop-Cymatics_Oracle_Classic_Me__seed777.wav
97,5.336,2.37,2.97,1.00,0500__G#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed123.wav
98,5.332,2.94,2.39,1.00,0566__Gmin_126_ethnic__LATE__loop-Cymatics_Gems_Ethnic_Loop___seed123.wav
99,5.332,2.47,2.87,1.00,0459__Fmin_70_r&b__ICE__loop-Cymatics_Dragon_Platinum_R__seed777.wav
100,5.329,2.76,2.57,0.93,0226__Cmin_65_trap__Glassland__loop-Cymatics_Dragon_Platinum_O__seed7.wav
101,5.325,2.41,2.91,1.00,0495__G#min_150_dragon__Velvet__loop-Cymatics_Dragon_Orchestral__seed777.wav
102,5.325,2.52,2.81,0.99,0297__Dmin_100_r&b__LATE__loop-Cymatics_Dragon_R_B_Loop_L__seed777.wav
103,5.322,2.79,2.53,1.00,0110__Bmin_167_dark__CoSmoS__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
104,5.317,2.70,2.62,0.97,0205__Cmin_80_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed7.wav
105,5.314,2.62,2.70,1.00,0463__Fmin_70_r&b__Coldhearted__loop-Cymatics_Dragon_Platinum_R__seed7.wav
106,5.313,2.49,2.82,0.99,0388__F#min_100_rnb__Veil__loop-Cymatics_Gems_Vol_6_Never___seed7.wav
107,5.312,2.41,2.90,1.00,0369__Emin_150_various__LATE__loop-Cymatics_Oracle_Various_Me__seed777.wav
108,5.312,2.31,3.00,1.00,0138__Bmin_125_oracle__BANDS__loop-Cymatics_Oracle_Nostalgic___seed777.wav
109,5.306,2.33,2.98,1.00,0160__C#min_135_dragon__CANOPY__loop-Cymatics_Dragon_Nostalgic___seed7.wav
110,5.305,2.28,3.03,1.00,0096__Amin_160_misc__JuPitER__loop-Cymatics_2020_Nostalgic_Me__seed777.wav
111,5.305,2.50,2.80,1.00,0396__F#min_100_rnb__Depths__loop-Cymatics_Gems_Vol_6_Never___seed777.wav
112,5.304,2.52,2.78,0.94,0415__F#min_130_sad__Midnight__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
113,5.294,2.47,2.82,1.00,0329__Dmin_160_ethnic__CoSmoS__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
114,5.292,2.50,2.79,0.94,0420__F#min_130_sad__Echo__loop-Cymatics_Oracle_Sad_Melody__seed777.wav
115,5.288,2.44,2.84,0.92,0514__G#min_85_sad__Soulful__loop-Cymatics_Dragon_Sad_Loop_L__seed7.wav
116,5.288,2.40,2.88,1.00,0139__Bmin_125_oracle__Ember__loop-Cymatics_Oracle_Nostalgic___seed7.wav
117,5.287,2.52,2.77,1.00,0349__Emin_110_cobra__Panda__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
118,5.281,2.53,2.76,1.00,0271__D#min_140_cobra__Pressure__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
119,5.280,2.53,2.75,0.99,0381__Emin_94_dark__JuPitER__loop-Cymatics_Gems_Dark_Loop_Nu__seed777.wav
120,5.279,2.54,2.74,1.00,0447__Fmin_130_dragon__ACTiVE__loop-Cymatics_Dragon_Nostalgic___seed777.wav
121,5.278,2.49,2.79,1.00,0351__Emin_110_cobra__Panda__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
122,5.274,2.74,2.53,0.93,0536__Gmin_136_dark__FlaMEnCO__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
123,5.273,2.49,2.78,1.00,0143__Bmin_125_oracle__Scenic__loop-Cymatics_Oracle_Nostalgic___seed123.wav
124,5.269,2.54,2.73,1.00,0402__F#min_105_dark__ACTiVE__loop-Cymatics_Oracle_Dark_Melod__seed777.wav
125,5.266,2.39,2.87,1.00,0141__Bmin_125_oracle__Ember__loop-Cymatics_Oracle_Nostalgic___seed777.wav
126,5.261,2.63,2.63,1.00,0197__Cmin_102_oracle__Coldhearted__loop-Cymatics_Oracle_West_Coast__seed123.wav
127,5.259,2.35,2.91,1.00,0144__Bmin_125_oracle__Scenic__loop-Cymatics_Oracle_Nostalgic___seed777.wav
128,5.257,2.37,2.88,1.00,0501__G#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed777.wav
129,5.254,2.63,2.63,0.96,0221__Cmin_65_trap__BANDS__loop-Cymatics_Dragon_Platinum_O__seed123.wav
130,5.254,2.57,2.69,0.97,0453__Fmin_130_dragon__Pressure__loop-Cymatics_Dragon_Nostalgic___seed777.wav
131,5.253,2.24,3.01,1.00,0481__G#min_105_ethnic__CoSmoS__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
132,5.252,2.62,2.63,0.98,0118__Bmin_167_dark__Nasty__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
133,5.249,2.72,2.53,0.99,0219__Cmin_65_trap__Depths__loop-Cymatics_Dragon_Platinum_O__seed777.wav
134,5.243,2.40,2.84,1.00,0163__C#min_135_dragon__Dusk__loop-Cymatics_Dragon_Nostalgic___seed7.wav
135,5.239,2.47,2.77,0.97,0389__F#min_100_rnb__Veil__loop-Cymatics_Gems_Vol_6_Never___seed123.wav
136,5.237,2.53,2.71,1.00,0275__D#min_140_cobra__TrapSoul__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
137,5.236,2.65,2.59,0.99,0307__Dmin_140_dark__Soulful__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
138,5.235,2.70,2.54,1.00,0319__Dmin_120_oracle__Velvet__loop-Cymatics_Oracle_Simple_Mel__seed7.wav
139,5.235,2.40,2.84,1.00,0465__Fmin_70_r&b__Coldhearted__loop-Cymatics_Dragon_Platinum_R__seed777.wav
140,5.234,2.43,2.80,1.00,0136__Bmin_125_oracle__BANDS__loop-Cymatics_Oracle_Nostalgic___seed7.wav
141,5.234,2.62,2.61,0.99,0022__A#min_152_dragon__BANDS__loop-Cymatics_Dragon_Nostalgic___seed7.wav
142,5.226,2.54,2.69,0.97,0030__A#min_97_oracle__Halo__loop-Cymatics_Oracle_West_Coast__seed777.wav
143,5.222,2.35,2.87,1.00,0115__Bmin_167_dark__Midnight__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
144,5.217,2.43,2.79,1.00,0390__F#min_100_rnb__Veil__loop-Cymatics_Gems_Vol_6_Never___seed777.wav
145,5.201,2.66,2.54,0.92,0147__C#min_150_dragon__CoSmoS__loop-Cymatics_Dragon_Orchestral__seed777.wav
146,5.200,2.43,2.77,1.00,0149__C#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed123.wav
147,5.200,2.44,2.76,0.97,0395__F#min_100_rnb__Depths__loop-Cymatics_Gems_Vol_6_Never___seed123.wav
148,5.195,2.70,2.49,1.00,0370__Emin_150_various__ACTiVE__loop-Cymatics_Oracle_Various_Me__seed7.wav
149,5.193,2.52,2.67,1.00,0358__Emin_110_cobra__Glassland__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
150,5.185,2.69,2.49,1.00,0436__Fmin_160_various__Depths__loop-Cymatics_Oracle_Various_Me__seed7.wav
151,5.185,2.36,2.83,0.91,0167__C#min_135_dragon__Panda__loop-Cymatics_Dragon_Nostalgic___seed123.wav
152,5.180,2.29,2.89,1.00,0497__G#min_150_dragon__Steppa__loop-Cymatics_Dragon_Orchestral__seed123.wav
153,5.166,2.18,2.99,1.00,0272__D#min_140_cobra__Pressure__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
154,5.166,2.41,2.75,0.99,0300__Dmin_100_r&b__BANDS__loop-Cymatics_Dragon_R_B_Loop_L__seed777.wav
155,5.164,2.47,2.70,0.97,0392__F#min_100_rnb__Soulful__loop-Cymatics_Gems_Vol_6_Never___seed123.wav
156,5.161,2.55,2.61,0.99,0111__Bmin_167_dark__CoSmoS__loop-Cymatics_Oracle_Dark_Melod__seed777.wav
157,5.160,2.52,2.64,0.99,0333__Dmin_160_ethnic__JUNGLE__loop-Cymatics_Dragon_Ethnic_Loo__seed777.wav
158,5.154,2.35,2.81,1.00,0198__Cmin_102_oracle__Coldhearted__loop-Cymatics_Oracle_West_Coast__seed777.wav
159,5.154,2.61,2.55,0.98,0486__G#min_105_ethnic__TrapSoul__loop-Cymatics_Dragon_Ethnic_Loo__seed777.wav
160,5.152,2.31,2.84,1.00,0372__Emin_150_various__ACTiVE__loop-Cymatics_Oracle_Various_Me__seed777.wav
161,5.152,2.31,2.84,0.99,0095__Amin_160_misc__JuPitER__loop-Cymatics_2020_Nostalgic_Me__seed123.wav
162,5.149,2.37,2.78,0.99,0092__Amin_160_misc__POWER__loop-Cymatics_2020_Nostalgic_Me__seed123.wav
163,5.141,2.56,2.59,1.00,0400__F#min_105_dark__ACTiVE__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
164,5.141,2.72,2.42,1.00,0052__Amin_130_ethnic__Rent_Free__loop-Cymatics_Dragon_Platinum_E__seed7.wav
165,5.140,2.54,2.60,0.99,0391__F#min_100_rnb__Soulful__loop-Cymatics_Gems_Vol_6_Never___seed7.wav
166,5.140,2.44,2.70,1.00,0575__Gmin_126_ethnic__ACTiVE__loop-Cymatics_Gems_Ethnic_Loop___seed123.wav
167,5.139,2.51,2.63,0.99,0128__Bmin_140_sad__Mars__loop-Cymatics_Dragon_Sad_Loop_F__seed123.wav
168,5.138,2.42,2.72,0.94,0412__F#min_130_sad__Cry__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
169,5.134,2.26,2.88,1.00,0546__Gmin_130_r&b__Ember__loop-Cymatics_Dragon_R_B_Loop_R__seed777.wav
170,5.134,2.60,2.53,0.89,0020__A#min_152_dragon__Midnight__loop-Cymatics_Dragon_Nostalgic___seed123.wav
171,5.133,2.57,2.56,0.96,0314__Dmin_120_oracle__Coldhearted__loop-Cymatics_Oracle_Simple_Mel__seed123.wav
172,5.132,2.42,2.71,1.00,0543__Gmin_130_r&b__FlaMEnCO__loop-Cymatics_Dragon_R_B_Loop_R__seed777.wav
173,5.130,2.45,2.68,1.00,0405__F#min_105_dark__Mars__loop-Cymatics_Oracle_Dark_Melod__seed777.wav
174,5.129,2.60,2.53,1.00,0401__F#min_105_dark__ACTiVE__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
175,5.126,2.41,2.71,1.00,0273__D#min_140_cobra__Pressure__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
176,5.125,2.55,2.57,1.00,0406__F#min_105_dark__Cry__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
177,5.124,2.67,2.45,1.00,0119__Bmin_167_dark__Nasty__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
178,5.123,2.50,2.62,1.00,0403__F#min_105_dark__Mars__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
179,5.120,2.60,2.52,0.93,0398__F#min_105_dark__Glassland__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
180,5.118,2.53,2.59,0.95,0441__Fmin_160_various__BANDS__loop-Cymatics_Oracle_Various_Me__seed777.wav
181,5.117,2.49,2.63,1.00,0422__F#min_113_cobra__Cry__loop-Cymatics_Cobra_Flute_Loop___seed123.wav
182,5.117,2.38,2.74,1.00,0460__Fmin_70_r&b__Ember__loop-Cymatics_Dragon_Platinum_R__seed7.wav
183,5.114,2.19,2.92,1.00,0484__G#min_105_ethnic__TrapSoul__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
184,5.111,2.54,2.57,0.99,0304__Dmin_140_dark__Halo__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
185,5.110,2.55,2.56,1.00,0331__Dmin_160_ethnic__JUNGLE__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
186,5.108,2.29,2.82,1.00,0461__Fmin_70_r&b__Ember__loop-Cymatics_Dragon_Platinum_R__seed123.wav
187,5.105,2.41,2.69,1.00,0541__Gmin_130_r&b__FlaMEnCO__loop-Cymatics_Dragon_R_B_Loop_R__seed7.wav
188,5.105,2.65,2.53,0.84,0053__Amin_130_ethnic__Rent_Free__loop-Cymatics_Dragon_Platinum_E__seed123.wav
189,5.103,2.39,2.72,1.00,0243__D#min_106_various__Pressure__loop-Cymatics_Dragon_Various_Lo__seed777.wav
190,5.103,2.25,2.86,0.98,0239__Cmin_128_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed123.wav
191,5.100,2.41,2.69,1.00,0067__Amin_88_oracle__Emotions__loop-Cymatics_Oracle_Classic_Me__seed7.wav
192,5.098,2.55,2.54,1.00,0325__Dmin_160_ethnic__TrapSoul__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
193,5.097,2.60,2.49,1.00,0077__Amin_130_sad__Halo__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
194,5.097,2.20,2.90,1.00,0270__D#min_140_cobra__CANOPY__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
195,5.089,2.43,2.66,1.00,0551__Gmin_130_r&b__Crystal__loop-Cymatics_Dragon_R_B_Loop_R__seed123.wav
196,5.088,2.35,2.74,1.00,0498__G#min_150_dragon__Steppa__loop-Cymatics_Dragon_Orchestral__seed777.wav
197,5.086,2.45,2.63,0.99,0054__Amin_130_ethnic__Rent_Free__loop-Cymatics_Dragon_Platinum_E__seed777.wav
198,5.084,2.27,2.81,0.93,0414__F#min_130_sad__Cry__loop-Cymatics_Oracle_Sad_Melody__seed777.wav
199,5.078,2.58,2.50,0.96,0066__Amin_88_oracle__BANDS__loop-Cymatics_Oracle_Classic_Me__seed777.wav
200,5.077,2.30,2.77,1.00,0201__Cmin_102_oracle__Depths__loop-Cymatics_Oracle_West_Coast__seed777.wav
201,5.075,2.34,2.73,1.00,0519__G#min_115_dark__Halo__loop-Cymatics_Gems_Dark_Loop_At__seed777.wav
202,5.074,2.48,2.60,1.00,0425__F#min_113_cobra__Rent_Free__loop-Cymatics_Cobra_Flute_Loop___seed123.wav
203,5.073,2.33,2.74,1.00,0166__C#min_135_dragon__Panda__loop-Cymatics_Dragon_Nostalgic___seed7.wav
204,5.069,2.39,2.68,1.00,0194__Cmin_102_oracle__Glassland__loop-Cymatics_Oracle_West_Coast__seed123.wav
205,5.053,2.36,2.70,1.00,0204__Cmin_102_oracle__Nasty__loop-Cymatics_Oracle_West_Coast__seed777.wav
206,5.052,2.45,2.61,1.00,0341__Emin_160_cobra__Depths__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
207,5.051,2.38,2.67,0.94,0217__Cmin_65_trap__Depths__loop-Cymatics_Dragon_Platinum_O__seed7.wav
208,5.048,2.67,2.37,1.00,0313__Dmin_120_oracle__Coldhearted__loop-Cymatics_Oracle_Simple_Mel__seed7.wav
209,5.043,2.53,2.52,0.95,0225__Cmin_65_trap__StarLight__loop-Cymatics_Dragon_Platinum_O__seed777.wav
210,5.042,2.36,2.68,0.99,0093__Amin_160_misc__POWER__loop-Cymatics_2020_Nostalgic_Me__seed777.wav
211,5.040,2.62,2.42,0.92,0443__Fmin_160_various__Coupe__loop-Cymatics_Oracle_Various_Me__seed123.wav
212,5.035,2.56,2.48,0.99,0027__A#min_97_oracle__CoSmoS__loop-Cymatics_Oracle_West_Coast__seed777.wav
213,5.032,2.39,2.64,0.99,0045__A#min_150_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed777.wav
214,5.031,2.19,2.84,1.00,0490__G#min_105_ethnic__BANDS__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
